city,zip,tests,positives,deaths
New York,10001,685,288,
New York,10002,1603,780,
New York,10003,977,368,
New York,10004,75,26,
New York,10005,156,48,
New York,10006,68,16,
New York,10007,167,46,
New York,10009,1377,561,
New York,10010,695,216,
New York,10011,1025,427,
New York,10012,394,133,
New York,10013,517,194,
New York,10014,624,247,
New York,10016,1489,546,
New York,10017,383,121,
New York,10018,440,179,
New York,10019,1159,473,
New York,10021,1318,461,
New York,10022,806,272,
New York,10023,1323,463,
New York,10024,1430,521,
New York,10025,2419,977,
New York,10026,1080,483,
New York,10027,1526,728,
New York,10028,1155,393,
New York,10029,2721,1350,
New York,10030,727,377,
New York,10031,1600,918,
New York,10032,1974,1082,
New York,10033,1662,942,
New York,10034,1032,515,
New York,10035,1334,713,
New York,10036,778,333,
New York,10037,657,319,
New York,10038,425,185,
New York,10039,789,383,
New York,10040,1271,718,
New York,10044,321,144,
New York,10065,862,267,
New York,10069,137,46,
New York,10075,800,328,
New York,10128,1566,529,
New York,10280,128,35,
New York,10282,139,62,
New York,10301,2035,933,
New York,10302,1055,501,
New York,10303,1518,700,
New York,10304,2418,1120,
New York,10305,2403,995,
New York,10306,3160,1212,
New York,10307,836,336,
New York,10308,1487,559,
New York,10309,1955,741,
New York,10310,1419,587,
New York,10312,3173,1301,
New York,10314,5219,2210,
New York,10451,2339,1245,
New York,10452,3076,1705,
New York,10453,3140,1729,
New York,10454,1579,843,
New York,10455,1715,922,
New York,10456,3394,1827,
New York,10457,2849,1524,
New York,10458,2927,1504,
New York,10459,2050,1135,
New York,10460,2343,1231,
New York,10461,3118,1482,
New York,10462,3674,1778,
New York,10463,3180,1431,
New York,10464,301,112,
New York,10465,2912,1244,
New York,10466,3661,1919,
New York,10467,4905,2594,
New York,10468,3321,1860,
New York,10469,4285,2317,
New York,10470,782,371,
New York,10471,1108,466,
New York,10472,2593,1462,
New York,10473,3013,1498,
New York,10474,483,256,
New York,10475,3114,1405,
New York,11004,774,454,
New York,11101,1122,480,
New York,11102,946,470,
New York,11103,895,414,
New York,11104,757,369,
New York,11105,968,395,
New York,11106,1065,483,
New York,11109,149,43,
New York,11201,1326,492,
New York,11203,2814,1560,
New York,11204,2849,1520,
New York,11205,1159,538,
New York,11206,2213,1132,
New York,11207,2847,1478,
New York,11208,2948,1654,
New York,11209,1999,883,
New York,11210,2442,1320,
New York,11211,2930,1545,
New York,11212,2406,1293,
New York,11213,2058,1099,
New York,11214,2208,1154,
New York,11215,1266,487,
New York,11216,1163,543,
New York,11217,898,431,
New York,11218,2376,1294,
New York,11219,3905,2182,
New York,11220,2045,1136,
New York,11221,1782,938,
New York,11222,773,344,
New York,11223,2592,1309,
New York,11224,1482,800,
New York,11225,1721,936,
New York,11226,2906,1606,
New York,11228,1058,513,
New York,11229,2446,1214,
New York,11230,3289,1755,
New York,11231,729,337,
New York,11232,630,380,
New York,11233,1788,954,
New York,11234,3481,1846,
New York,11235,2876,1493,
New York,11236,3723,2097,
New York,11237,1129,663,
New York,11238,1193,594,
New York,11239,732,388,
New York,11354,1516,838,
New York,11355,1714,935,
New York,11356,821,425,
New York,11357,1316,642,
New York,11358,964,445,
New York,11360,617,260,
New York,11361,763,352,
New York,11362,564,248,
New York,11363,209,84,
New York,11364,871,384,
New York,11365,1338,653,
New York,11366,636,330,
New York,11367,1654,803,
New York,11368,4719,3211,
New York,11369,1835,1191,
New York,11370,1992,1114,
New York,11372,3031,1935,
New York,11373,4013,2474,
New York,11374,1762,870,
New York,11375,2635,1263,
New York,11377,2892,1627,
New York,11378,1178,581,
New York,11379,1331,631,
New York,11385,3097,1611,
New York,11411,961,561,
New York,11412,1821,1019,
New York,11413,1917,1057,
New York,11414,1253,672,
New York,11415,843,411,
New York,11416,886,510,
New York,11417,1230,677,
New York,11418,1497,797,
New York,11419,1587,871,
New York,11420,1965,1057,
New York,11421,1645,907,
New York,11422,1472,781,
New York,11423,1379,777,
New York,11426,837,418,
New York,11427,1149,635,
New York,11428,936,547,
New York,11429,1273,767,
New York,11432,2280,1292,
New York,11433,1322,722,
New York,11434,2869,1569,
New York,11435,2283,1215,
New York,11436,771,415,
New York,11691,2914,1738,
New York,11692,815,457,
New York,11693,535,275,
New York,11694,1094,551,
New York,11697,177,79,
Boston,2126,873,405,
Boston,2128,1171,548,
Boston,02121_02125,1897,804,
Boston,2136,1599,580,
Boston,02122_02124,2400,943,
Boston,2131,1208,397,
Boston,02119_02120,1290,472,
Boston,2132,761,247,
Boston,02163_02134_02135,1373,413,
Boston,02127_02210,759,221,
Boston,02111_02118,1763,532,
Boston,2130,1181,364,
Boston,2129,410,93,
Boston,02108_02114_02116_02199_02222_02109_02110_02013​,1431,248,
Boston,02115_02215,670,111,
Chicago,60656,798,116,4
Chicago,60631,940,115,4
Chicago,60646,694,100,4
Chicago,60659,895,318,18
Chicago,60645,1602,551,24
Chicago,60626,1243,386,23
Chicago,60660,675,187,11
Chicago,60640,1369,375,24
Chicago,60625,1373,431,22
Chicago,60630,1235,256,10
Chicago,60634,2401,472,13
Chicago,60707,1176,245,3
Chicago,60641,1468,390,11
Chicago,60618,1661,426,12
Chicago,60613,806,196,7
Chicago,60657,1130,182,7
Chicago,60639,2146,825,21
Chicago,60647,1578,360,15
Chicago,60614,1179,238,27
Chicago,60651,1506,509,18
Chicago,60622,1114,257,18
Chicago,60642,381,57,2
Chicago,60610,689,125,0
Chicago,60611,680,83,0
Chicago,60654,351,88,1
Chicago,60601,240,41,0
Chicago,60602,240,41,0
Chicago,60606,177,26,0
Chicago,60661,150,22,0
Chicago,60605,553,97,0
Chicago,60607,785,189,0
Chicago,60612,1500,331,0
Chicago,60624,1214,368,0
Chicago,60644,1479,508,16
Chicago,60623,1814,769,0
Chicago,60608,1688,522,0
Chicago,60616,975,215,0
Chicago,60632,1615,648,12
Chicago,60609,1303,457,0
Chicago,60653,1021,269,14
Chicago,60615,1145,213,0
Chicago,60638,1475,363,6
Chicago,60629,2014,799,0
Chicago,60636,780,296,0
Chicago,60621,832,254,0
Chicago,60637,1341,286,0
Chicago,60649,1438,381,48
Chicago,60619,1845,506,0
Chicago,60620,2006,603,0
Chicago,60652,880,270,7
Chicago,60617,1856,422,0
Chicago,60628,1697,470,0
Chicago,60643,1495,409,0
Chicago,60655,875,149,5
Chicago,60633,284,70,0
Chicago,60827,592,158,1
Detroit,48219,,695,
Detroit,48235,,848,
Detroit,48221,,562,
Detroit,48203,,134,
Detroit,48234,,396,
Detroit,48205,,432,
Detroit,48224,,518,
Detroit,48215,,140,
Detroit,48214,,330,
Detroit,48207,,343,
Detroit,48226,,58,
Detroit,48201,,145,
Detroit,48216,,47,
Detroit,48209,,168,
Detroit,48217,,85,
Detroit,48210,,142,
Detroit,48208,,136,
Detroit,48202,,317,
Detroit,48211,,55,
Detroit,48213,,296,
Detroit,48212,,100,
Detroit,48238,,295,
Detroit,48206,,206,
Detroit,48204,,325,
Detroit,48235,,848,
Detroit,48227,,553,
Detroit,48228,,559,
Detroit,48223,,272,
Detroit,48219,,695,
Philadelphia,19101,22,12,
Philadelphia,19102,163,33,
Philadelphia,19103,676,127,
Philadelphia,19104,1029,347,
Philadelphia,19105,9,0,
Philadelphia,19106,266,39,
Philadelphia,19107,670,98,
Philadelphia,19111,1413,454,
Philadelphia,19114,635,186,
Philadelphia,19115,900,415,
Philadelphia,19116,731,320,
Philadelphia,19118,232,74,
Philadelphia,19119,603,207,
Philadelphia,19120,1149,463,
Philadelphia,19121,735,215,
Philadelphia,19122,465,120,
Philadelphia,19123,550,150,
Philadelphia,19124,1088,418,
Philadelphia,19125,485,106,
Philadelphia,19126,495,253,
Philadelphia,19127,101,19,
Philadelphia,19128,740,193,
Philadelphia,19129,271,60,
Philadelphia,19130,755,141,
Philadelphia,19131,1220,457,
Philadelphia,19132,904,303,
Philadelphia,19133,480,194,
Philadelphia,19134,986,273,
Philadelphia,19135,579,172,
Philadelphia,19136,842,376,
Philadelphia,19137,235,21,
Philadelphia,19138,690,253,
Philadelphia,19139,1148,432,
Philadelphia,19140,1053,378,
Philadelphia,19141,629,263,
Philadelphia,19142,729,294,
Philadelphia,19143,1648,509,
Philadelphia,19144,930,325,
Philadelphia,19145,1389,308,
Philadelphia,19146,1396,274,
Philadelphia,19147,994,166,
Philadelphia,19148,1396,316,
Philadelphia,19149,852,326,
Philadelphia,19150,612,233,
Philadelphia,19151,822,319,
Philadelphia,19152,745,247,
Philadelphia,19153,293,103,
Philadelphia,19154,759,177,
Philadelphia,19197,8,0,
Seattle,98177,,66,16
Seattle,98133,,196,14
Seattle,98155,,132,13
Seattle,98125,,109,4
Seattle,98177,,63,4
Seattle,98107,,46,3
Seattle,98103,,100,12
Seattle,98115,,95,5
Seattle,98105,,53,1
Seattle,98195,,0,0
Seattle,98199,,22,1
Seattle,98119,,22,0
Seattle,98109,,42,1
Seattle,98102,,48,1
Seattle,98112,,44,2
Seattle,98121,,16,0
Seattle,98101,,62,6
Seattle,98122,,90,3
Seattle,98104,,64,7
Seattle,98144,,135,5
Seattle,98134,,2,0
