city,zip,ZCTA5
New York,10001,10001
New York,10002,10002
New York,10003,10003
New York,10004,10004
New York,10005,10005
New York,10006,10006
New York,10007,10007
New York,10009,10009
New York,10010,10010
New York,10011,10011
New York,10012,10012
New York,10013,10013
New York,10014,10014
New York,10016,10016
New York,10017,10017
New York,10018,10018
New York,10019,10019
New York,10021,10021
New York,10022,10022
New York,10023,10023
New York,10024,10024
New York,10025,10025
New York,10026,10026
New York,10027,10027
New York,10028,10028
New York,10029,10029
New York,10030,10030
New York,10031,10031
New York,10032,10032
New York,10033,10033
New York,10034,10034
New York,10035,10035
New York,10036,10036
New York,10037,10037
New York,10038,10038
New York,10039,10039
New York,10040,10040
New York,10044,10044
New York,10065,10065
New York,10069,10069
New York,10075,10075
New York,10128,10128
New York,10280,10280
New York,10282,10282
New York,10301,10301
New York,10302,10302
New York,10303,10303
New York,10304,10304
New York,10305,10305
New York,10306,10306
New York,10307,10307
New York,10308,10308
New York,10309,10309
New York,10310,10310
New York,10312,10312
New York,10314,10314
New York,10451,10451
New York,10452,10452
New York,10453,10453
New York,10454,10454
New York,10455,10455
New York,10456,10456
New York,10457,10457
New York,10458,10458
New York,10459,10459
New York,10460,10460
New York,10461,10461
New York,10462,10462
New York,10463,10463
New York,10464,10464
New York,10465,10465
New York,10466,10466
New York,10467,10467
New York,10468,10468
New York,10469,10469
New York,10470,10470
New York,10471,10471
New York,10472,10472
New York,10473,10473
New York,10474,10474
New York,10475,10475
New York,11004,11004
New York,11101,11101
New York,11102,11102
New York,11103,11103
New York,11104,11104
New York,11105,11105
New York,11106,11106
New York,11109,11109
New York,11201,11201
New York,11203,11203
New York,11204,11204
New York,11205,11205
New York,11206,11206
New York,11207,11207
New York,11208,11208
New York,11209,11209
New York,11210,11210
New York,11211,11211
New York,11212,11212
New York,11213,11213
New York,11214,11214
New York,11215,11215
New York,11216,11216
New York,11217,11217
New York,11218,11218
New York,11219,11219
New York,11220,11220
New York,11221,11221
New York,11222,11222
New York,11223,11223
New York,11224,11224
New York,11225,11225
New York,11226,11226
New York,11228,11228
New York,11229,11229
New York,11230,11230
New York,11231,11231
New York,11232,11232
New York,11233,11233
New York,11234,11234
New York,11235,11235
New York,11236,11236
New York,11237,11237
New York,11238,11238
New York,11239,11239
New York,11354,11354
New York,11355,11355
New York,11356,11356
New York,11357,11357
New York,11358,11358
New York,11360,11360
New York,11361,11361
New York,11362,11362
New York,11363,11363
New York,11364,11364
New York,11365,11365
New York,11366,11366
New York,11367,11367
New York,11368,11368
New York,11369,11369
New York,11370,11370
New York,11372,11372
New York,11373,11373
New York,11374,11374
New York,11375,11375
New York,11377,11377
New York,11378,11378
New York,11379,11379
New York,11385,11385
New York,11411,11411
New York,11412,11412
New York,11413,11413
New York,11414,11414
New York,11415,11415
New York,11416,11416
New York,11417,11417
New York,11418,11418
New York,11419,11419
New York,11420,11420
New York,11421,11421
New York,11422,11422
New York,11423,11423
New York,11426,11426
New York,11427,11427
New York,11428,11428
New York,11429,11429
New York,11432,11432
New York,11433,11433
New York,11434,11434
New York,11435,11435
New York,11436,11436
New York,11691,11691
New York,11692,11692
New York,11693,11693
New York,11694,11694
New York,11697,11697
Boston,02126,02126
Boston,02128,02128
Boston,02121_02125,02121
Boston,02121_02125,02125
Boston,02136,02136
Boston,02122_02124,02122
Boston,02122_02124,02124
Boston,02131,02131
Boston,02119_02120,02119
Boston,02119_02120,02120
Boston,02132,02132
Boston,02163_02134_02135,02163
Boston,02163_02134_02135,02134
Boston,02163_02134_02135,02135
Boston,02127_02210,02127
Boston,02127_02210,02210
Boston,02111_02118,02111
Boston,02111_02118,02118
Boston,02130,02130
Boston,02129,02129
Boston,02108_02114_02116_02199_02222_02109_02110_02013​,02108
Boston,02108_02114_02116_02199_02222_02109_02110_02013​,02114
Boston,02108_02114_02116_02199_02222_02109_02110_02013​,02116
Boston,02108_02114_02116_02199_02222_02109_02110_02013​,02199
Boston,02108_02114_02116_02199_02222_02109_02110_02013​,02222
Boston,02108_02114_02116_02199_02222_02109_02110_02013​,02109
Boston,02108_02114_02116_02199_02222_02109_02110_02013​,02110
Boston,02108_02114_02116_02199_02222_02109_02110_02013​,02013​
Boston,02115_02215,02115
Boston,02115_02215,02215
Chicago,60656,60656
Chicago,60631,60631
Chicago,60646,60646
Chicago,60659,60659
Chicago,60645,60645
Chicago,60626,60626
Chicago,60660,60660
Chicago,60640,60640
Chicago,60625,60625
Chicago,60630,60630
Chicago,60634,60634
Chicago,60707,60707
Chicago,60641,60641
Chicago,60618,60618
Chicago,60613,60613
Chicago,60657,60657
Chicago,60639,60639
Chicago,60647,60647
Chicago,60614,60614
Chicago,60651,60651
Chicago,60622,60622
Chicago,60642,60642
Chicago,60610,60610
Chicago,60611,60611
Chicago,60654,60654
Chicago,60601,60601
Chicago,60602,60602
Chicago,60606,60606
Chicago,60661,60661
Chicago,60605,60605
Chicago,60607,60607
Chicago,60612,60612
Chicago,60624,60624
Chicago,60644,60644
Chicago,60623,60623
Chicago,60608,60608
Chicago,60616,60616
Chicago,60632,60632
Chicago,60609,60609
Chicago,60653,60653
Chicago,60615,60615
Chicago,60638,60638
Chicago,60629,60629
Chicago,60636,60636
Chicago,60621,60621
Chicago,60637,60637
Chicago,60649,60649
Chicago,60619,60619
Chicago,60620,60620
Chicago,60652,60652
Chicago,60617,60617
Chicago,60628,60628
Chicago,60643,60643
Chicago,60655,60655
Chicago,60633,60633
Chicago,60827,60827
Detroit,48219,48219
Detroit,48235,48235
Detroit,48221,48221
Detroit,48203,48203
Detroit,48234,48234
Detroit,48205,48205
Detroit,48224,48224
Detroit,48215,48215
Detroit,48214,48214
Detroit,48207,48207
Detroit,48226,48226
Detroit,48201,48201
Detroit,48216,48216
Detroit,48209,48209
Detroit,48217,48217
Detroit,48210,48210
Detroit,48208,48208
Detroit,48202,48202
Detroit,48211,48211
Detroit,48213,48213
Detroit,48212,48212
Detroit,48238,48238
Detroit,48206,48206
Detroit,48204,48204
Detroit,48235,48235
Detroit,48227,48227
Detroit,48228,48228
Detroit,48223,48223
Detroit,48219,48219
Philadelphia,19101,19101
Philadelphia,19102,19102
Philadelphia,19103,19103
Philadelphia,19104,19104
Philadelphia,19105,19105
Philadelphia,19106,19106
Philadelphia,19107,19107
Philadelphia,19111,19111
Philadelphia,19114,19114
Philadelphia,19115,19115
Philadelphia,19116,19116
Philadelphia,19118,19118
Philadelphia,19119,19119
Philadelphia,19120,19120
Philadelphia,19121,19121
Philadelphia,19122,19122
Philadelphia,19123,19123
Philadelphia,19124,19124
Philadelphia,19125,19125
